player,team,url
William Saliba,Arsenal,/en/players/972aeb2a/William-Saliba
Declan Rice,Arsenal,/en/players/1c7012b8/Declan-Rice
Bukayo Saka,Arsenal,/en/players/bc7dc64d/Bukayo-Saka
Martin Ødegaard,Arsenal,/en/players/79300479/Martin-Odegaard
Ben White,Arsenal,/en/players/35e413f1/Ben-White
Gabriel Dos Santos,Arsenal,/en/players/67ac5bb8/Gabriel-Dos-Santos
Gabriel Martinelli,Arsenal,/en/players/48a5a5d6/Gabriel-Martinelli
David Raya,Arsenal,/en/players/98ea5115/David-Raya
Kai Havertz,Arsenal,/en/players/fed7cb61/Kai-Havertz
Oleksandr Zinchenko,Arsenal,/en/players/51cf8561/Oleksandr-Zinchenko
Gabriel Jesus,Arsenal,/en/players/b66315ae/Gabriel-Jesus
Eddie Nketiah,Arsenal,/en/players/a53649b7/Eddie-Nketiah
Leandro Trossard,Arsenal,/en/players/38ceb24a/Leandro-Trossard
Jakub Kiwior,Arsenal,/en/players/dc3e663e/Jakub-Kiwior
Jorginho,Arsenal,/en/players/45db685d/Jorginho
Takehiro Tomiyasu,Arsenal,/en/players/b3af9be1/Takehiro-Tomiyasu
Aaron Ramsdale,Arsenal,/en/players/466fb2c5/Aaron-Ramsdale
Thomas Partey,Arsenal,/en/players/529f49ab/Thomas-Partey
Fabio Vieira,Arsenal,/en/players/6412cc03/Fabio-Vieira
Emile Smith Rowe,Arsenal,/en/players/17695062/Emile-Smith-Rowe
Jurriën Timber,Arsenal,/en/players/41034650/Jurrien-Timber
Reiss Nelson,Arsenal,/en/players/c5bdb6e3/Reiss-Nelson
Cédric Soares,Arsenal,/en/players/839c14e1/Cedric-Soares
Mohamed Elneny,Arsenal,/en/players/47a34c4f/Mohamed-Elneny
Ethan Nwaneri,Arsenal,/en/players/7f94982c/Ethan-Nwaneri
Mauro Bandeira,Arsenal,/en/players/9b67eca8/Mauro-Bandeira
Bradley Ibrahim,Arsenal,/en/players/aaab4602/Bradley-Ibrahim
Karl Jakob Hein,Arsenal,/en/players/aa81d8f8/Karl-Jakob-Hein
Myles Lewis-Skelly,Arsenal,/en/players/5dff6c28/Myles-Lewis-Skelly
Charles Sagoe Jr,Arsenal,/en/players/187ab096/Charles-Sagoe-Jr
James Sweet,Arsenal,/en/players/d4632cfa/James-Sweet
Reuell Walters,Arsenal,/en/players/501ac0cc/Reuell-Walters
Ollie Watkins,Aston Villa,/en/players/aed3a70f/Ollie-Watkins
John McGinn,Aston Villa,/en/players/90f91999/John-McGinn
Emiliano Martínez,Aston Villa,/en/players/7956236f/Emiliano-Martinez
Douglas Luiz,Aston Villa,/en/players/6f7d826d/Douglas-Luiz
Ezri Konsa,Aston Villa,/en/players/0313a347/Ezri-Konsa
Matty Cash,Aston Villa,/en/players/2389cdc2/Matty-Cash
Boubacar Kamara,Aston Villa,/en/players/cc77354e/Boubacar-Kamara
Pau Torres,Aston Villa,/en/players/532e1e4f/Pau-Torres
Lucas Digne,Aston Villa,/en/players/1b84dbe1/Lucas-Digne
Moussa Diaby,Aston Villa,/en/players/aeed5c06/Moussa-Diaby
Leon Bailey,Aston Villa,/en/players/3a233281/Leon-Bailey
Diego Carlos,Aston Villa,/en/players/b4a014b1/Diego-Carlos
Clément Lenglet,Aston Villa,/en/players/4f28a6ff/Clement-Lenglet
Youri Tielemans,Aston Villa,/en/players/56f7a928/Youri-Tielemans
Álex Moreno,Aston Villa,/en/players/16e9d0ea/Alex-Moreno
Jacob Ramsey,Aston Villa,/en/players/1544f145/Jacob-Ramsey
Nicolò Zaniolo,Aston Villa,/en/players/9907b1c8/Nicolo-Zaniolo
Leander Dendoncker,Aston Villa,/en/players/5a7301ae/Leander-Dendoncker
Robin Olsen,Aston Villa,/en/players/e7ee38c3/Robin-Olsen
Tyrone Mings,Aston Villa,/en/players/8397a50c/Tyrone-Mings
Jhon Durán,Aston Villa,/en/players/414184f7/Jhon-Duran
Morgan Rogers,Aston Villa,/en/players/2e5915f1/Morgan-Rogers
Calum Chambers,Aston Villa,/en/players/dc6f5bdd/Calum-Chambers
Tim Iroegbunam,Aston Villa,/en/players/84c5ceea/Tim-Iroegbunam
Philippe Coutinho,Aston Villa,/en/players/0ef89a37/Philippe-Coutinho
Bertrand Traoré,Aston Villa,/en/players/c47541e0/Bertrand-Traore
Cameron Archer,Aston Villa,/en/players/05e8ca6d/Cameron-Archer
Jaden Philogene Bidace,Aston Villa,/en/players/19f4d211/Jaden-Philogene-Bidace
Joe Gauci,Aston Villa,/en/players/5600c774/Joe-Gauci
Omari Kellyman,Aston Villa,/en/players/aa888da7/Omari-Kellyman
Kaine Kessler,Aston Villa,/en/players/9b066938/Kaine-Kessler
Filip Marshall,Aston Villa,/en/players/a79abd8b/Filip-Marshall
Tommi O'Reilly,Aston Villa,/en/players/345fc437/Tommi-OReilly
Sam Proctor,Aston Villa,/en/players/b96cec48/Sam-Proctor
James Wright,Aston Villa,/en/players/9417a430/James-Wright
Oliwier Zych,Aston Villa,/en/players/be18d79f/Oliwier-Zych
Illia Zabarnyi,Bournemouth,/en/players/88968486/Illia-Zabarnyi
Dominic Solanke,Bournemouth,/en/players/e77dc3b2/Dominic-Solanke
Ryan Christie,Bournemouth,/en/players/26ce2263/Ryan-Christie
Neto,Bournemouth,/en/players/a9dc785c/Neto
Lewis Cook,Bournemouth,/en/players/2afc7272/Lewis-Cook
Marcus Tavernier,Bournemouth,/en/players/5c0da4a4/Marcus-Tavernier
Marcos Senesi,Bournemouth,/en/players/35141f4c/Marcos-Senesi
Antoine Semenyo,Bournemouth,/en/players/efd2ec23/Antoine-Semenyo
Justin Kluivert,Bournemouth,/en/players/4c3a6744/Justin-Kluivert
Milos Kerkez,Bournemouth,/en/players/0ad53bdc/Milos-Kerkez
Adam Smith,Bournemouth,/en/players/20b104bc/Adam-Smith
Philip Billing,Bournemouth,/en/players/d328a254/Philip-Billing
Max Aarons,Bournemouth,/en/players/774cf58b/Max-Aarons
Lloyd Kelly,Bournemouth,/en/players/f31def1e/Lloyd-Kelly
Alex Scott,Bournemouth,/en/players/104d0bb8/Alex-Scott
Luis Sinisterra,Bournemouth,/en/players/8e16dd48/Luis-Sinisterra
Dango Ouattara,Bournemouth,/en/players/2f9e4435/Dango-Ouattara
Joe Rothwell,Bournemouth,/en/players/10a10454/Joe-Rothwell
Chris Mepham,Bournemouth,/en/players/fed96827/Chris-Mepham
David Brooks,Bournemouth,/en/players/dc4cae05/David-Brooks
Ionuț Radu,Bournemouth,/en/players/67f649be/Ionut-Radu
Jaidon Anthony,Bournemouth,/en/players/e4238fb1/Jaidon-Anthony
James Hill,Bournemouth,/en/players/69942fb3/James-Hill
Kieffer Moore,Bournemouth,/en/players/01ce9e70/Kieffer-Moore
Hamed Junior Traorè,Bournemouth,/en/players/570bb4b9/Hamed-Junior-Traore
Enes Ünal,Bournemouth,/en/players/f8eca1b6/Enes-Unal
Romain Faivre,Bournemouth,/en/players/745ca0a3/Romain-Faivre
Ben Greenwood,Bournemouth,/en/players/7eda24fe/Ben-Greenwood
Gavin Kilkenny,Bournemouth,/en/players/3eeda7dd/Gavin-Kilkenny
Emiliano Marcondes,Bournemouth,/en/players/4d960fc3/Emiliano-Marcondes
Darren Randolph,Bournemouth,/en/players/6385ebfb/Darren-Randolph
Dominic Sadi,Bournemouth,/en/players/54778940/Dominic-Sadi
Mark Travers,Bournemouth,/en/players/fe558029/Mark-Travers
Maxwell Wellings,Bournemouth,/en/players/ed46ab76/Maxwell-Wellings
Mark Flekken,Brentford,/en/players/a92ab7be/Mark-Flekken
Vitaly Janelt,Brentford,/en/players/8449d35e/Vitaly-Janelt
Christian Nørgaard,Brentford,/en/players/df0a4c90/Christian-Norgaard
Ethan Pinnock,Brentford,/en/players/e541326e/Ethan-Pinnock
Yoane Wissa,Brentford,/en/players/2500cef9/Yoane-Wissa
Nathan Collins,Brentford,/en/players/a8c19eb8/Nathan-Collins
Mathias Jensen,Brentford,/en/players/0f134faf/Mathias-Jensen
Mads Roerslev,Brentford,/en/players/57c94db2/Mads-Roerslev
Bryan Mbeumo,Brentford,/en/players/6afaebf2/Bryan-Mbeumo
Ben Mee,Brentford,/en/players/8df7a2fb/Ben-Mee
Neal Maupay,Brentford,/en/players/4bcf39f6/Neal-Maupay
Kristoffer Ajer,Brentford,/en/players/a8c0acb7/Kristoffer-Ajer
Frank Onyeka,Brentford,/en/players/2944f86f/Frank-Onyeka
Keane Lewis-Potter,Brentford,/en/players/41f08ac8/Keane-Lewis-Potter
Aaron Hickey,Brentford,/en/players/1780bb4a/Aaron-Hickey
Ivan Toney,Brentford,/en/players/e09f279b/Ivan-Toney
Saman Ghoddos,Brentford,/en/players/f7b1d4e0/Saman-Ghoddos
Sergio Reguilón,Brentford,/en/players/3353737a/Sergio-Reguilon
Mathias Jørgensen,Brentford,/en/players/0db5d2c8/Mathias-Jorgensen
Rico Henry,Brentford,/en/players/8a3c1dc7/Rico-Henry
Yehor Yarmoliuk,Brentford,/en/players/907a5d7c/Yehor-Yarmoliuk
Kevin Schade,Brentford,/en/players/52afb588/Kevin-Schade
Mikkel Damsgaard,Brentford,/en/players/215f3907/Mikkel-Damsgaard
Shandon Baptiste,Brentford,/en/players/2886c9b5/Shandon-Baptiste
